datetime,gmx,gmvx,upper,lower,position
2011-05-20,-1.1984392815697609,0.1568237570836245,1.0568459166373985,-2.241213292127048,1.0
2011-05-27,-1.4858624885614056,0.24273345486963288,1.0441190943132792,-2.2582757631634816,1.0
2011-06-03,-1.3664644850726027,-0.13408673314710257,1.029359099234735,-2.268413674663544,0.0
2011-06-10,-1.5180410445530006,-0.6018845098287946,1.0171440855472458,-2.2851829757127833,0.0
2011-06-17,-1.7032278054597492,-0.8726934957125863,1.0088138929254722,-2.31079590564266,0.0
2011-06-24,-1.5189618192485868,-1.0103843002502964,0.9962626334109133,-2.3253687340309135,0.0
2011-07-01,-1.442573680462182,-0.9018321874330383,0.9825314642155749,-2.3355766611479503,0.0
2011-07-08,-1.0749690906941844,-0.8722134582194853,0.9666027369104824,-2.3317220699709784,0.0
2011-07-15,-0.46158876181924846,-0.74506274882525,0.9582498157949175,-2.31677300244613,0.0
2011-07-22,-0.30751684193927087,-0.46439089496861047,0.9539494277747615,-2.3015389452675525,0.0
2011-07-29,-0.3230977853154534,-0.20661950203829182,0.949223809104625,-2.286648196932751,0.0
2011-08-05,-0.6636156376489016,0.18279364317032865,0.9375301156460827,-2.2748088875809183,1.0
2011-08-12,-1.387060593590248,0.36423979395568384,0.9249889160398576,-2.2825049050908293,1.0
2011-08-19,-1.9883720139316394,0.34568292117619637,0.9251076244282594,-2.3190017806849577,1.0
2011-08-26,-2.18879422522237,0.21316787813103472,0.9307883909890428,-2.3655550718236595,1.0
2011-09-02,-2.2861493979833165,-0.14902244796522884,0.938404482872058,-2.4155702463435937,0.0
2011-09-09,-2.147858084865051,-0.38499725169875637,0.9397436804841104,-2.4544901160390937,0.0
2011-09-16,-1.9885395319740757,-0.6249150382578849,0.9356903465686504,-2.4828358956551226,0.0
2011-09-23,-2.2986285070338495,-0.6236124025332703,0.9398146279843094,-2.5265720142783303,0.0
2011-09-30,-2.576966229710295,-0.6706870654018642,0.9523939094073058,-2.5848843094593597,0.0
2011-10-14,-2.707011681247661,-0.7775931702893345,0.9678567783778254,-2.648214684283591,1.0
2011-10-21,-2.8744191779517156,-1.0402463016536663,0.9876389020706126,-2.7188528136013494,1.0
2011-10-28,-2.45237425113204,-1.457089726876806,0.9898835929863976,-2.760276943908904,0.0
2011-11-04,-1.8249949649899055,-1.460106206884879,0.9783366262637424,-2.7716518866869477,0.0
2011-11-11,-1.5348507571874517,-1.3408469476067812,0.9644386515206874,-2.7731320595818647,0.0
2011-11-18,-1.2326020584992092,-0.8336530378590922,0.9506196484855257,-2.7671286602245275,0.0
2011-11-25,-1.4793456601246753,-0.14924396498492642,0.9369515183455386,-2.7668979690081916,0.0
2011-12-02,-1.9496184017097575,0.09740368200750246,0.9274681751789287,-2.7814761415713125,1.0
2011-12-09,-2.3039615110108933,0.023800409944016554,0.9243193685966268,-2.809981531030728,1.0
2011-12-16,-2.5708201051209874,-0.41842333011079685,0.9272265166852368,-2.849888429662609,0.0
2011-12-23,-2.7299756712335053,-1.1266004496605702,0.9336616844538539,-2.896068422481672,0.0
2011-12-30,-2.8246715155003432,-1.5964689089751347,0.9416479216104816,-2.9450206184491092,0.0
2012-01-06,-2.940968793250506,-1.956672163289674,0.9518185559245851,-2.9978128449573047,0.0
2012-01-13,-2.754585342214986,-1.8294516242562378,0.9550303015190074,-3.0386678122408277,0.0
2012-01-20,-2.2561046862637015,-1.7926992412620213,0.946994463215002,-3.0567456498702152,0.0
