datetime,strategy,benchmark
2011-10-21,0.9115696940171951,0.7981879085690669
2011-10-28,0.9110227522007848,0.8118966458600787
2011-11-04,0.9110227522007848,0.8020245842371649
2011-11-11,0.9110227522007848,0.7698614369826016
2011-11-18,0.9110227522007848,0.7609426416987614
2011-11-25,0.9110227522007848,0.7558841323948228
2011-12-02,0.8879673458900603,0.7372083757581117
2011-12-09,0.8426433016448552,0.6995794413209964
2011-12-16,0.8421377156638683,0.6922425369280026
2011-12-23,0.8421377156638683,0.6969468915548859
2011-12-30,0.8421377156638683,0.6761934274794509
2012-01-06,0.8421377156638683,0.7015066330219716
2012-01-13,0.8421377156638683,0.7404429884752158
2012-01-20,0.8421377156638683,0.7411188336505962
2012-02-03,0.8421377156638683,0.7391237623031851
2012-02-10,0.8421377156638683,0.7590449628875403
2012-02-17,0.8421377156638683,0.7844880251449812
2012-02-24,0.8421377156638683,0.7932297430902937
2012-03-02,0.8421377156638683,0.7859990851004167
2012-03-09,0.8421377156638683,0.7725471099502699
2012-03-16,0.8421377156638683,0.753000723065798
2012-03-23,0.8421377156638683,0.7228326471586457
2012-03-30,0.8421377156638683,0.7409299511561666
2012-04-06,0.8421377156638683,0.7567783729543869
2012-04-13,0.8421377156638683,0.7746395738338709
2012-04-20,0.8421377156638683,0.7852406038337235
2012-04-27,0.8421377156638683,0.7966857024805575
2012-05-04,0.8421377156638683,0.783216019596558
2012-05-11,0.8421377156638683,0.7591807221804114
2012-05-18,0.8421377156638683,0.756297312851387
2012-05-25,0.8421377156638683,0.766960319919724
2012-06-01,0.8421377156638683,0.7465580592323688
2012-06-08,0.8421377156638683,0.7604379712839575
