date,GMX,GMVX,GMX_full,GMVX_full,position_combined
2009-01-30,-1.5123698090964544,-0.3662223805499936,-1.6061640954867782,-0.5286039602451978,0.0
2009-02-06,-1.636089505989984,-0.2033192706686387,-1.757467512936649,-0.28343362311500375,0.0
2009-02-13,-1.5514765012351703,0.5366005647580221,-1.65723103060018,0.45081559592406784,1.0
2009-02-20,-1.0064629239567853,0.7608336622231578,-1.0820289710258744,0.5811084752160739,1.0
2009-02-27,-0.5208735490278533,0.9391708536660289,-0.5735847546581462,0.6718238653184898,0.0
2009-03-06,-0.3859977729092532,0.7217545017496122,-0.44374457332967304,0.4263670483529013,0.0
2009-03-13,-0.508379798502289,0.4880123414100354,-0.5769943561279384,0.20053390744060165,0.0
2009-03-20,-0.7198587026564692,0.5364316123606436,-0.8042655770163367,0.3298627600293408,0.0
2009-03-27,-0.5505371854545047,1.0281207111095565,-0.6037799344898859,0.778055698539779,1.0
2009-04-03,-0.6731532903941562,1.1691237186841246,-0.7202599347629328,0.9358398439572919,1.0
2009-04-10,-0.618974111338287,1.07612591558521,-0.6700362534262058,0.8603611768204773,1.0
2009-04-17,-0.4450296377278349,1.0843918793626126,-0.48196283788975675,0.7669560628544517,1.0
2009-04-24,-0.6439517565156985,0.6047985966579065,-0.7104225962091469,0.341834037355486,1.0
2009-05-01,-0.1995617727539163,0.8729512325693602,-0.2402670298841312,0.49741342462570903,1.0
2009-05-08,-0.1030537362756612,0.5598596777957818,-0.14999246802119753,0.12447701007604192,1.0
2009-05-15,-0.029434730664652894,0.24513511329877014,-0.09441598225995099,-0.17357604556048606,1.0
2009-05-22,-0.01937134705017453,0.139994978361366,-0.08575144613896861,-0.3020862898100345,1.0
2009-05-29,-0.4431678532900744,-4.005717655633512e-05,-0.5279238564511055,-0.36548914976398367,0.0
2009-06-05,-0.29607459539926895,0.442380766010806,-0.3648426297213958,0.10288035829382781,1.0
2009-06-12,-0.8600800361328106,0.2943152813352609,-0.945074184354674,0.11212508995048641,1.0
2009-06-19,-1.1783739324434155,0.27314954318297835,-1.2662873431201072,0.14764453826434287,1.0
2009-06-26,-1.2090160965368117,0.05698103967685936,-1.303087673406702,-0.08826139884785568,1.0
2009-07-03,-1.6657576459841839,0.03992659548175587,-1.7594372045252074,-0.04921323193263983,1.0
2009-07-10,-1.6008167042169938,0.2719772217180274,-1.6949647553924112,0.0937879193122002,1.0
2009-07-17,-1.6918946508701567,-0.003767864904208662,-1.8000908672072393,-0.1688854083379999,0.0
2009-07-24,-1.9021661358033415,-0.20138426427358808,-2.0204055365075093,-0.34241486781273406,0.0
2009-07-31,-2.059539360874365,-0.5931059972246426,-2.2029650055052095,-0.739860591539106,0.0
2009-08-07,-2.1335614106899135,-1.0614389886072777,-2.3033204875411473,-1.1876550287881522,0.0
2009-08-14,-1.8030978237009343,-0.7549509371458678,-1.9548499114068592,-0.9252287584281168,0.0
2009-08-21,-1.3698169936778442,-0.7377088451120353,-1.5191844290047496,-0.9403546506268488,0.0
2009-08-28,-0.841525388514695,-0.5064949002360681,-0.9695591955452715,-0.7841108775992499,0.0
2009-09-04,-0.600722634945363,-0.3915597874479314,-0.7262982425877493,-0.6775791844263697,0.0
2009-09-11,-0.8542352542108071,-0.3933922999631241,-0.9885120089644163,-0.6521882244953168,0.0
2009-09-18,-0.879841121115524,0.08139045824424618,-0.9963474259106522,-0.1492013195619257,1.0
2009-09-25,-0.59632369160327,0.44686017557371605,-0.7011388940224312,0.2277038433294421,1.0
2009-10-02,-0.39083334305696166,0.9419393022805507,-0.4679186701829189,0.7063764687130732,1.0
2009-10-09,-0.3603123068976386,0.8570170736042619,-0.4341825764975368,0.6158167231202195,1.0
2009-10-16,-0.30402153958205663,0.8864048327010942,-0.3595257427805915,0.6036364418693323,1.0
2009-10-23,-0.6840811000080063,0.09090650633638842,-0.7989064154214478,-0.10882966259020511,1.0
2009-10-30,-0.15097114810800782,-0.11361761805144338,-0.25698831707270026,-0.3633841148990408,0.0
2009-11-06,0.556920979875867,0.2892956120136257,0.5080616509850117,-0.06955998978488757,0.0
2009-11-13,0.7772449302660756,-0.002424036968210863,0.7228410831835738,-0.40534305341098903,0.0
2009-11-20,1.0167268934541895,0.5079702399415409,0.9874361032833334,0.06281361582525118,0.0
2009-11-27,0.6610811936685889,1.0002838485810186,0.6451083107158354,0.6081008729761314,0.0
2009-12-04,0.3678836470609143,1.2231794674444625,0.3583628382854335,0.9108431075340112,1.0
2009-12-11,0.21772553855060747,1.275375687750461,0.19939490749790154,1.0833930580313718,1.0
2009-12-18,0.1172545490748495,1.0723597315665003,0.07735707294790733,0.9400117389161949,1.0
2009-12-25,-0.004587357548032994,0.6117247410893906,-0.04068236618211444,0.43390321550054833,1.0
2010-01-01,-0.4496063232073959,-0.13562828616265465,-0.498893780483253,-0.28929733224155274,0.0
2010-01-08,-0.6189761568977425,0.2942438723329047,-0.6357520500348173,0.04930152969827209,1.0
2010-01-15,-0.7604605737957636,0.5825405585435185,-0.7737299770736147,0.3343348659876142,1.0
2010-01-22,-1.2887591333334094,0.6327900233749935,-1.3307961189913755,0.510489232589041,1.0
