date,GMX_roll,GMVX_roll,position,close,equity_no_cost,equity_default,bench_equity
2010-11-19,-0.8070952968361711,-1.394822622474261,0.0,3178.846,1.2496878515641225,1.2392047160600765,1.2247386853552074
2010-11-26,-0.7313191106043355,-1.6188807037343522,0.0,3194.853,1.2501204358204332,1.2396336715387126,1.2309058265556558
2010-12-03,-0.39088346136422647,-2.090050659439675,0.0,3158.156,1.250553169817448,1.2400627755019376,1.2167672883765557
2010-12-10,-0.09897049237728406,-1.3773386871890139,0.0,3161.977,1.250986053607,1.2404920280011498,1.2182394347204621
2010-12-17,0.07680907853607499,-0.6950487342846503,0.0,3225.661,1.251419087240941,1.2409214290877655,1.2427754639707502
2010-12-24,0.36822861513729355,-0.5849530989394107,0.0,3162.955,1.2518522707711397,1.2413509788132189,1.2186162363756154
2010-12-31,0.5727548372467552,-0.204248236448001,0.0,3128.261,1.2522856042494834,1.241780677228962,1.205249409561824
2011-01-07,0.6297886122680967,0.3289476742145148,1.0,3166.624,1.2527190877278773,1.242210524386464,1.2200298204990894
2011-01-14,0.9169923138209258,0.1582628013815186,1.0,3091.862,1.2152209284147597,1.204281595937725,1.1912256841569937
2011-01-21,1.0121568050326395,0.11576725539821078,1.0,2983.456,1.1829961705999403,1.1723469231037396,1.149459262655412
2011-01-28,0.8841053979653207,0.29690817247747336,1.0,3036.735,1.202537587646372,1.191712429702001,1.1699864767504138
2011-02-04,0.8676125081917411,0.30311642572366043,1.0,3077.283,1.2104530381712006,1.199556625903462,1.1856087196064007
2011-02-11,0.6536828382459916,0.6911014544908323,1.0,3120.956,1.2373322917852434,1.22619391438578,1.2024349554811546
2011-02-18,0.25366804856057146,1.0764068103256432,1.0,3211.876,1.2646283148663595,1.253244220606033,1.2374644099663656
2011-02-25,0.22126789206174602,0.9010625180358884,1.0,3197.617,1.2680080300028618,1.2565935117869471,1.2319707343008945
2011-03-04,0.18638525205508238,0.8027467546682197,1.0,3270.666,1.3023669485773035,1.2906431338169921,1.2601148898298233
2011-03-11,0.1940925072703925,0.5198009730808184,1.0,3247.376,1.2831527668728895,1.2716019168114439,1.2511417706595576
2011-03-18,0.37170174269467815,0.08146305831817025,1.0,3215.685,1.2759314039015892,1.2644455600366575,1.2389319329770803
2011-03-25,0.3585261096637753,0.159334573333355,1.0,3294.484,1.310290322476031,1.2984951820667026,1.2692914356605398
2011-04-01,0.4784696971121331,-0.15935580401365174,0.0,3272.729,1.2951507357990373,1.283491880873568,1.2609097178610922
2011-04-08,0.4084128297597046,-0.04029465839330337,0.0,3353.358,1.295599057207583,1.2831660713961155,1.291974278856342
2011-04-15,0.42799871840000253,0.13395985259516524,1.0,3358.944,1.2960475338043087,1.2836102442669832,1.2941264404572481
2011-04-22,0.6138143125999818,-0.08289649902184915,0.0,3299.942,1.275260182406704,1.26225220884157,1.2713942817073973
2011-04-29,0.8239720511241484,-0.18901737655531498,0.0,3192.723,1.275701618623691,1.2619317909731718,1.2300851849140642
2011-05-06,1.123896846126538,-0.38917464753096254,0.0,3121.396,1.2761432076455221,1.2623686135162009,1.202604477698197
