datetime,rev_growth,pb_proxy,indicator,score,position
2014-01-31,0.3500558367859832,0.9484703596258643,0.3690740920191401,1,1.0
2014-02-28,0.40411590610365455,0.9085958036859662,0.4447697253985198,-1,0.0
2014-03-31,0.41404507975708604,0.8733357691195838,0.47409609728282165,-1,0.0
2014-04-30,0.44561419129832847,0.9176682053674715,0.48559401828669274,-1,0.0
2014-05-31,0.3539361211205585,0.9166641191036655,0.3861132052017538,1,1.0
2014-06-30,0.34735197150275887,0.9116885276699015,0.38099851096132903,1,1.0
2014-07-31,0.3187017760787749,1.0491385953395265,0.30377471336438194,1,1.0
2014-08-31,0.2871646090772928,1.0372058245392246,0.27686366802352347,1,1.0
2014-09-30,0.2853042600121478,1.1201102531994214,0.25471087261028136,1,1.0
2014-10-31,0.26062140153767865,1.1832836137625948,0.22025269217491908,1,1.0
2014-11-30,0.30472247631301475,1.6382756476062734,0.18600195684911303,1,1.0
2014-12-31,0.5862197428497982,2.46063904061573,0.23823882055578025,-1,0.0
2015-01-31,0.8114892964120686,2.022795695760681,0.4011721490770251,-1,0.0
2015-02-28,0.8266419775579958,2.130556775949428,0.38799340477074307,-1,0.0
2015-03-31,1.1612952575760755,2.2952484362813315,0.5059562351592576,-1,0.0
2015-04-30,1.66712316635912,2.40410675714737,0.693448059826291,-1,0.0
2015-05-31,2.372768846819282,2.179599929907174,1.0886258593889453,-1,0.0
2015-06-30,3.052442044769303,1.815853988248689,1.6809953137880036,-1,0.0
2015-07-31,3.425049871522119,1.3970482212073747,2.4516332503985288,-1,0.0
2015-08-31,3.5754452276541926,1.0273225255594243,3.4803531887001102,-1,0.0
2015-09-30,3.394335655404632,0.9827421671628978,3.453943230302025,-1,0.0
2015-10-31,3.377048416592973,1.1577798697681692,2.9168311738475676,1,1.0
2015-11-30,3.2454100315274053,1.264078267390634,2.567412252270363,1,1.0
2015-12-31,2.4363805201758315,1.3052359246371064,1.8666207956643672,1,1.0
2016-01-31,2.0340851954606025,0.9533283667119506,2.133666915289854,-1,0.0
2016-02-29,1.9249101370190407,0.8961288528418305,2.148028300745711,-1,0.0
2016-03-31,1.381235309728908,1.098327206658626,1.2575808933395687,1,1.0
2016-04-30,0.7500004490214693,1.031468884852977,0.7271188302770496,1,1.0
2016-05-31,0.2954007467359807,1.0499931131522589,0.28133588976515966,1,1.0
2016-06-30,-0.06208476741678848,1.0366435602772766,-0.05989017806678154,1,1.0
2016-07-31,-0.234183512054296,1.0028504870887278,-0.23351787237410643,1,1.0
2016-08-31,-0.32343221752757456,1.0445746269313472,-0.3096305512203788,1,1.0
2016-09-30,-0.3495895245188919,0.9894345805886807,-0.3533225251849372,1,1.0
2016-10-31,-0.403186322544416,1.0205179304485372,-0.3950800966007602,1,1.0
2016-11-30,-0.4690534650188103,1.0692397131907108,-0.43867942729054754,1,1.0
2016-12-31,-0.5025883718401138,0.9490618734021461,-0.5295633360957406,1,1.0
2017-01-31,-0.5149458446948944,0.9418983764985203,-0.5467106192593627,1,1.0
2017-02-28,-0.5144473985890763,0.9402129091000443,-0.5471605352467417,1,1.0
2017-03-31,-0.5069960211020119,0.8879504219310105,-0.5709733433083531,1,1.0
2017-04-30,-0.47633789046239694,0.8654931946256795,-0.5503658416036536,1,1.0
2017-05-31,-0.424352311387992,0.848635901213466,-0.5000404894268672,-1,0.0
2017-06-30,-0.3600283436526328,0.854471635212568,-0.4213461615528854,-1,0.0
2017-07-31,-0.3173984813667663,0.8784081291509899,-0.3613337249890234,-1,0.0
2017-08-31,-0.27212025693390596,0.9229405685639402,-0.29484049808029844,-1,0.0
2017-09-30,-0.23422394814912417,0.8977989785601328,-0.26088685077896456,-1,0.0
2017-10-31,-0.19335060287605454,0.8303807137382615,-0.23284572928677055,-1,0.0
2017-11-30,-0.15876328620943114,0.8352205077943008,-0.19008547410875065,-1,0.0
2017-12-31,-0.11654491475812989,0.7808865867437527,-0.14924691592426342,-1,0.0
2018-01-31,-0.04844437497092724,0.849018498830913,-0.05705926907085593,-1,0.0
2018-02-28,-0.06343594266828567,0.765186446654102,-0.0829025957603788,-1,0.0
2018-03-31,-0.05970186873381522,0.7700393067331996,-0.0775309366830809,-1,0.0
2018-04-30,-0.05017309458604213,0.7837185479224021,-0.06401927671489777,-1,0.0
2018-05-31,-0.035218282824088454,0.7617036454415335,-0.04623620096195499,-1,0.0
2018-06-30,-0.0234657867336574,0.703966485318063,-0.03333367031394285,-1,0.0
2018-07-31,-0.01574395472281942,0.7139132300562159,-0.02205303678372747,-1,0.0
2018-08-31,-0.06719017189144161,0.681003589189668,-0.0986634622166849,1,1.0
2018-09-30,-0.14964636913586848,0.6948091863057274,-0.2153776491233978,1,1.0
2018-10-31,-0.17462892190314383,0.7242640158076764,-0.24111224372841877,1,1.0
2018-11-30,-0.18691217846907027,0.7527363804364561,-0.24831027611644563,1,1.0
2018-12-31,-0.19780639816527912,0.7139267461979253,-0.2770681995298721,1,1.0
2019-01-31,-0.2723954405377019,0.7758050014326506,-0.3511132823772459,1,1.0
2019-02-28,-0.24105580058428155,1.0049667277461665,-0.23986445911985177,-1,0.0
2019-03-31,-0.15986389061327766,1.071377939645973,-0.14921334918105855,-1,0.0
2019-04-30,-0.0759483596968713,1.0143808385767492,-0.07487164268937929,-1,0.0
2019-05-31,-0.07537778218396851,0.9127661604198666,-0.08258170104520003,-1,0.0
2019-06-30,-0.04716376671505518,1.0090362742928762,-0.0467413986163254,-1,0.0
2019-07-31,-0.017549979117770564,0.9849718378063423,-0.017817747111284525,-1,0.0
2019-08-31,0.062258971325268586,0.9442894174824358,0.06593208625725876,-1,0.0
2019-09-30,0.1971468186727321,0.9662632020572959,0.20403014235974393,-1,0.0
2019-10-31,0.25622924175399975,0.9538547639813943,0.2686250060590961,-1,0.0
2019-11-30,0.3096219574491339,0.9401358067645318,0.3293374799909971,-1,0.0
2019-12-31,0.41486519060927485,1.0917621813169074,0.37999593474547305,-1,0.0
2020-01-31,0.5516396012073908,1.0430089127936732,0.5288925093936522,-1,0.0
2020-02-29,0.6321414676765242,1.0422568642097696,0.6065121654591439,-1,0.0
2020-03-31,0.49529713007859155,0.9822581417969664,0.5042433439874402,1,1.0
2020-04-30,0.3356079930380662,1.0084340612422038,0.3328011279435161,1,1.0
2020-05-31,0.33792220390667627,0.9679133661277886,0.3491244317232232,-1,0.0
2020-06-30,0.3694084267245441,1.083583458674394,0.34091368206788736,-1,0.0
2020-07-31,0.5457439120098535,1.3219665109019025,0.4128273352685186,-1,0.0
2020-08-31,0.6115260562123912,1.3322438118053275,0.45901962598250723,-1,0.0
2020-09-30,0.5719290486863056,1.2749581393608496,0.4485865308276081,-1,0.0
2020-10-31,0.5757311141410397,1.212192662829938,0.47495017235705767,-1,0.0
2020-11-30,0.6408976387170795,1.2800651650166999,0.500675790758448,-1,0.0
2020-12-31,0.6229342526032808,1.2712531056390177,0.4900159140930098,-1,0.0
2021-01-31,0.6460052948357291,1.2002737168563964,0.538214980269387,-1,0.0
2021-02-28,0.4846205099870986,1.134011414286401,0.42735064557710434,1,1.0
2021-03-31,0.4761615349819097,1.0678333818746477,0.4459137006430522,-1,0.0
2021-04-30,0.534414908194127,1.056267432265632,0.5059465925668447,-1,0.0
2021-05-31,0.5522603158625534,1.1619723787611138,0.4752783508084497,1,1.0
