datetime,long_only,long_short,benchmark
2005-12-05 15:00:00,1.0,1.0,0.9372059761162139
2005-12-06 15:00:00,1.0,1.0,0.9483638055522051
2005-12-07 15:00:00,1.0,1.0,0.9456325067636265
2005-12-08 15:00:00,1.0,1.0,0.9613396288190798
2005-12-09 15:00:00,1.0,1.0,0.9613568609880929
2005-12-12 15:00:00,1.0,1.0,0.9628215953542076
2005-12-13 15:00:00,1.0,1.0,0.9698867846495842
2005-12-14 15:00:00,1.0,1.0,0.9673536558046564
2005-12-15 15:00:00,1.0,1.0,0.9717564749875068
2005-12-16 15:00:00,1.0,1.0,0.9751684444521035
2005-12-19 15:00:00,1.0,1.0,0.9787699677758444
2005-12-20 15:00:00,1.0,1.0,0.9732384415226348
2005-12-21 15:00:00,1.0,1.0,0.9785287174096607
2005-12-22 15:00:00,1.0,1.0,0.9872051145077635
2005-12-23 15:00:00,1.0,1.0,0.9973031655494482
2005-12-26 15:00:00,1.0,1.0,0.9952611535213941
2005-12-27 15:00:00,1.0,1.0,0.9973203977184614
2005-12-28 15:00:00,1.0,1.0,1.0094346125346803
2005-12-29 15:00:00,1.0,1.0,1.0028088435491382
2005-12-30 15:00:00,1.0,1.0,1.019549895745378
2006-01-04 15:00:00,1.0,1.0,1.032904826730541
2006-01-05 15:00:00,1.0,1.0,1.0428219399975878
2006-01-06 15:00:00,1.0,1.0,1.0475866347297136
2006-01-09 15:00:00,1.0,1.0,1.05099860419431
2006-01-10 15:00:00,1.0,1.0,1.0414864468990712
2006-01-11 15:00:00,1.0,1.0,1.058193034757285
2006-01-12 15:00:00,1.0,1.0,1.0521186951801622
2006-01-13 15:00:00,1.0,1.0,1.0341541589839913
2006-01-16 15:00:00,1.0,1.0,1.0404180524202582
2006-01-17 15:00:00,1.0,1.0,1.0641553652358222
2006-01-18 15:00:00,1.0,1.0,1.0782254312350297
2006-01-19 15:00:00,1.0,1.0,1.0811290517137393
2006-01-20 15:00:00,1.0,1.0,1.0821888301080458
2006-01-23 15:00:00,1.0,1.0,1.0781048060519378
2006-01-24 15:00:00,1.0,1.0,1.088211473178129
2006-01-25 15:00:00,1.0,1.0,1.1110010166979718
2006-02-06 15:00:00,1.0,1.0,1.1046854267546655
2006-02-07 15:00:00,1.0,1.0,1.110587444641657
2006-02-08 15:00:00,1.0,1.0,1.093846392445417
2006-02-09 15:00:00,1.0,1.0,1.106115696782754
2006-02-10 15:00:00,1.0,1.0,1.102540021712533
2006-02-13 15:00:00,1.0,1.0,1.1107339180782685
2006-02-14 15:00:00,1.0,1.0,1.1187985731764056
2006-02-15 15:00:00,1.0,1.0,1.0937257672623253
2006-02-16 15:00:00,1.0,1.0,1.0926142923609792
2006-02-17 15:00:00,1.0,1.0,1.091356344023022
2006-02-20 15:00:00,1.0,1.0,1.1104840516275782
2006-02-21 15:00:00,1.0,1.0,1.1064172597404835
2006-02-22 15:00:00,1.0,1.0,1.1109837845289585
2006-02-23 15:00:00,1.0,1.0,1.1181006703313743
2006-02-24 15:00:00,1.0,1.0,1.1156192379934857
2006-02-27 15:00:00,1.0,1.0,1.1193586186693314
2006-02-28 15:00:00,1.0,1.0,1.125760369457703
2006-03-01 15:00:00,1.0,1.0,1.1068308317967974
2006-03-02 15:00:00,1.0,1.0,1.1138443245851348
2006-03-03 15:00:00,1.0,1.0,1.1099757026416908
2006-03-06 15:00:00,1.0,1.0,1.082774723854491
2006-03-07 15:00:00,1.0,1.0,1.0748220778549389
2006-03-08 15:00:00,1.0,1.0,1.0728662266719506
2006-03-09 15:00:00,1.0,1.0,1.0729610036015227
2006-03-10 15:00:00,1.0,1.0,1.0859885233754367
2006-03-13 15:00:00,1.0,1.0,1.0849632093191564
2006-03-14 15:00:00,1.0,1.0,1.0982147472902406
2006-03-15 15:00:00,1.0,1.0,1.0968361737691916
2006-03-16 15:00:00,1.0,1.0,1.0938808567834426
2006-03-17 15:00:00,1.0,1.0,1.1102341851768875
2006-03-20 15:00:00,1.0,1.0,1.1110096327824777
2006-03-21 15:00:00,1.0,1.0,1.1168082576553906
2006-03-22 15:00:00,1.0,1.0,1.121934827936792
2006-03-23 15:00:00,1.0,1.0,1.116704864641312
2006-03-24 15:00:00,1.0,1.0,1.116437766021609
2006-03-27 15:00:00,1.0,1.0,1.1195567886129827
2006-03-28 15:00:00,1.0,1.0,1.1251227792042182
2006-03-29 15:00:00,1.0,1.0,1.1127845461908288
2006-03-30 15:00:00,1.0,1.0,1.1189536626975236
2006-03-31 15:00:00,1.0,1.0,1.1371852975133976
2006-04-03 15:00:00,1.0,1.0,1.1464217401044265
2006-04-04 15:00:00,1.0,1.0,1.156054522582757
2006-04-05 15:00:00,1.0,1.0,1.1551153693715424
2006-04-06 15:00:00,1.0,1.0,1.1582085437093963
2006-04-07 15:00:00,1.0,1.0,1.1726318691733724
2006-04-10 15:00:00,1.0,1.0,1.1732866915958708
2006-04-11 15:00:00,1.0,1.0,1.1711671348072579
2006-04-12 15:00:00,1.0,1.0,1.1460167841326183
2006-04-13 15:00:00,1.0,1.0,1.1723389223001497
2006-04-14 15:00:00,1.0,1.0,1.1888559562992191
2006-04-17 15:00:00,1.0,1.0,1.1968861470593302
2006-04-18 15:00:00,1.0,1.0,1.2046147748617115
2006-04-19 15:00:00,1.0,1.0,1.1941203839327255
2006-04-20 15:00:00,1.0,1.0,1.2264220847478071
2006-04-21 15:00:00,1.0,1.0,1.211335320776826
2006-04-24 15:00:00,1.0,1.0,1.2054505350588476
2006-04-25 15:00:00,1.0,1.0,1.2225362306353498
2006-04-26 15:00:00,1.0,1.0,1.2092846926642653
2006-04-27 15:00:00,1.0,1.0,1.2467388120142677
2006-04-28 15:00:00,1.0,1.0,1.2952042873636498
2006-05-08 15:00:00,1.0,1.0,1.3247746893901526
2006-05-09 15:00:00,1.0,1.0,1.3333907738967097
2006-05-10 15:00:00,1.0,1.0,1.3207423618410843
2006-05-11 15:00:00,1.0,1.0,1.392583274456755
2006-05-12 15:00:00,1.0,1.0,1.429141321018076
2006-05-15 15:00:00,1.0,1.0,1.3899726008512685
2006-05-16 15:00:00,1.0,1.0,1.3886198755837391
2006-05-17 15:00:00,1.0,1.0,1.3959866278368454
2006-05-18 15:00:00,1.0,1.0,1.4274698006238042
2006-05-19 15:00:00,1.0,1.0,1.4198962623425408
2006-05-22 15:00:00,1.0,1.0,1.3869655873584807
2006-05-23 15:00:00,1.0,1.0,1.3660543502610674
2006-05-24 15:00:00,1.0,1.0,1.3756095879788386
2006-05-25 15:00:00,1.0,1.0,1.3976236838930913
2006-05-26 15:00:00,1.0,1.0,1.4259447536661438
2006-05-29 15:00:00,1.0,1.0,1.4270648446519962
2006-05-30 15:00:00,1.0,1.0,1.4127535282866053
2006-05-31 15:00:00,1.0,1.0,1.4550671192983058
2006-06-01 15:00:00,1.0,1.0,1.4382312901724938
2006-06-02 15:00:00,1.0,1.0,1.4485533594113489
2006-06-05 15:00:00,1.0,1.0,1.445985766228395
2006-06-06 15:00:00,1.0,1.0,1.3582740259516464
2006-06-07 15:00:00,1.0,1.0,1.364753321500577
2006-06-08 15:00:00,1.0,1.0,1.3270665678688973
2006-06-09 15:00:00,1.0,1.0,1.3373024762626868
2006-06-12 15:00:00,1.0,1.0,1.327428443418173
2006-06-13 15:00:00,1.0,1.0,1.319337940066516
2006-06-14 15:00:00,1.0,1.0,1.327040719615378
2006-06-15 15:00:00,1.0,1.0,1.3440919508538538
2006-06-16 15:00:00,1.0,1.0,1.364675776740018
2006-06-19 15:00:00,1.0,1.0,1.3704830176974372
2006-06-20 15:00:00,1.0,1.0,1.3726284227395698
2006-06-21 15:00:00,1.0,1.0,1.3738260584859812
2006-06-22 15:00:00,1.0,1.0,1.385285450879702
2006-06-23 15:00:00,1.0,1.0,1.4101945511881577
2006-06-26 15:00:00,1.0,1.0,1.4115128121176608
2006-06-27 15:00:00,1.0,1.0,1.4147007633850868
2006-06-28 15:00:00,1.0,1.0,1.4472609467353652
2006-06-29 15:00:00,1.0,1.0,1.4451844703692849
2006-06-30 15:00:00,1.0,1.0,1.4650100808188722
2006-07-03 15:00:00,1.0,1.0,1.5123123847598692
2006-07-04 15:00:00,1.0,1.0,1.477899743240681
2006-07-05 15:00:00,1.0,1.0,1.5048163912391646
2006-07-06 15:00:00,1.0,1.0,1.4911857455497917
2006-07-07 15:00:00,1.0,1.0,1.496605262704416
2006-07-10 15:00:00,1.0,1.0,1.504264961830745
2006-07-11 15:00:00,1.0,1.0,1.4959332081129046
2006-07-12 15:00:00,1.0,1.0,1.414020092709069
2006-07-13 15:00:00,1.0,1.0,1.432036325412279
2006-07-14 15:00:00,1.0,1.0,1.4495355930450957
2006-07-17 15:00:00,1.0,1.0,1.449027244059209
2006-07-18 15:00:00,1.0,1.0,1.4152952732160389
2006-07-19 15:00:00,1.0,1.0,1.424936671778876
2006-07-20 15:00:00,1.0,1.0,1.4205769330185583
2006-07-21 15:00:00,1.0,1.0,1.437283520876772
2006-07-24 15:00:00,1.0,1.0,1.454860333270148
2006-07-25 15:00:00,1.0,1.0,1.4521118023125563
2006-07-26 15:00:00,1.0,1.0,1.4427030380313963
2006-07-27 15:00:00,1.0,1.0,1.4298736882011331
2006-07-28 15:00:00,1.0,1.0,1.3954955110199716
2006-07-31 15:00:00,1.0,1.0,1.377505126570281
2006-08-01 15:00:00,1.0,1.0,1.37835811893643
2006-08-02 15:00:00,1.0,1.0,1.3799607106546494
2006-08-03 15:00:00,1.0,1.0,1.3456600782340467
2006-08-04 15:00:00,1.0,1.0,1.3336923368544393
2006-08-07 15:00:00,1.0,1.0,1.3628922472471603
2006-08-08 15:00:00,1.0,1.0,1.3599196980923982
2006-08-09 15:00:00,1.016264865207337,1.016264865207337,1.3833985283727657
2006-08-10 15:00:00,1.016011685121336,1.016011685121336,1.3830538849925036
2006-08-11 15:00:00,0.9926368336813093,0.9926368336813093,1.3512346849097892
2006-08-14 15:00:00,1.010226520156217,1.010226520156217,1.3751787837535105
2006-08-15 15:00:00,1.0205752561715011,1.0205752561715011,1.389266081921731
2006-08-16 15:00:00,1.0137140758408785,1.0137140758408785,1.3799262463166233
2006-08-17 15:00:00,0.9908582435771535,0.9908582435771535,1.3488135651634465
2006-08-18 15:00:00,1.0136824283301284,1.0136824283301284,1.3798831658940904
2006-08-21 15:00:00,1.0218284975972054,1.0218284975972054,1.3909720666540293
2006-08-22 15:00:00,1.0207588117338517,1.0207588117338517,1.389515948372421
2006-08-23 15:00:00,1.026949064836572,1.026949064836572,1.3979424790198338
2006-08-24 15:00:00,1.0298859538341816,1.0298859538341816,1.401940342230876
2006-08-25 15:00:00,1.0460578318274847,1.0460578318274847,1.4239544381451288
2006-08-28 15:00:00,1.0433234868986756,1.0433234868986756,1.4202322896382962
2006-08-29 15:00:00,1.0481022610219413,1.0481022610219413,1.4267374334407465
2006-08-30 15:00:00,1.0498492036153468,1.0498492036153468,1.429115472764556
2006-08-31 15:00:00,1.0350824750993481,1.0350824750993481,1.4090141476107587
2006-09-01 15:00:00,1.050532789847549,1.050532789847549,1.4300460098912642
2006-09-04 15:00:00,1.0539443915064102,1.0539443915064102,1.4346900794402984
2006-09-05 15:00:00,1.0657489130161988,1.0657489130161988,1.4507590770450267
2006-09-06 15:00:00,1.0505074718389487,1.0505074718389487,1.4300115455532378
2006-09-07 15:00:00,1.0558622306578664,1.0558622306578664,1.437300753045785
2006-09-08 15:00:00,1.060318200171481,1.060318200171481,1.4433664765384009
2006-09-11 15:00:00,1.0730721470037727,1.0730721470037727,1.4607278868191127
2006-09-12 15:00:00,1.069451671773961,1.069451671773961,1.4557994864813624
2006-09-13 15:00:00,1.069432683267511,1.069432683267511,1.4557736382278426
2006-09-14 15:00:00,1.0936873355063905,1.0936873355063905,1.4887904740569684
2006-09-15 15:00:00,1.0983585080931058,1.0983585080931058,1.4951491444228073
2006-09-18 15:00:00,1.0973078107362024,1.0973078107362024,1.493718874394719
2006-09-19 15:00:00,1.096003933293298,1.096003933293298,1.491943960986368
2006-09-20 15:00:00,1.104244945092625,1.104244945092625,1.503162103013905
2006-09-21 15:00:00,1.0904086533926796,1.0904086533926796,1.4843273422825718
2006-09-22 15:00:00,1.0891680709712754,1.0891680709712754,1.4826385897192866
2006-09-25 15:00:00,1.0833006224782062,1.0833006224782062,1.4746514793817085
2006-09-26 15:00:00,1.0921682549903855,1.0921682549903855,1.4867226137753948
2006-09-27 15:00:00,1.1013713511165157,1.1013713511165157,1.4992504006479284
2006-09-28 15:00:00,1.1191445931537742,1.1191445931537742,1.52344436594234
2006-09-29 15:00:00,1.1293224326110076,1.1293224326110076,1.5372990298288833
2006-10-09 15:00:00,1.1295123176755084,1.1295123176755084,1.5375575123640801
2006-10-10 15:00:00,1.1333796434891712,1.1333796434891712,1.5428219399975864
2006-10-11 15:00:00,1.1244423864533417,1.1244423864533417,1.530656028674328
